Nome,Data de nascimento,Genero,Grupo,Nacionalidade,Gols,Assistências,Altura
Lionel Messi,24/06/1987,Masculino,Atacantes,Argentina,50,13,1.70
Cristiano Ronaldo,05/02/1985,Masculino,Atacantes,Português,25,16,1.87
Neymar Jr.,05/02/1992,Masculino,Atacantes,Brasileiro,18,16,1.75
Robert Lewandowski,21/08/1988,Masculino,Atacantes, Polonês,26,8,1.85
Kylian Mbappé,20/12/1998,Masculino,Atacantes, Francês,44,10,1.78
Karim Benzema,19/12/1987,Masculino,Atacantes, Francês,16,9,1.85
Eden Hazard,07/01/1991,Masculino,Atacantes,Belga,1,2,1.75
Luis Suárez,24/01/1987,Masculino,Atacantes,Uruguaio,49,25,1.82
Gareth Bale,16/07/1989,Masculino,Atacantes,Galês,3,0,1.85
Zlatan Ibrahimović,03/10/1981,Masculino,Atacantes,Sueco,1,0,1.95
Paulo Dybala,15/11/1993,Masculino,Atacantes,Argentino,16,9,1.77
João Félix,10/11/1999,Masculino,Atacantes, Português,10,6,1.81
Erling Haaland,21/07/2000,Masculino,Atacantes,Norueguês,38,6,1.94
Lautaro Martínez,22/08/1997,Masculino,Atacantes, Argentino,27,3,1.74
Dusan Vlahovic,28/01/2000,Masculino,Atacantes,Sérvio,18,4,1.90
Alex Morgan,02/07/1989, Feminino,Atacantes,Americana,8,6,1.70
Sam Kerr,10/09/1993, Feminino,Atacantes,Australiana,9,4,1.67
Vivianne Miedema,15/07/1996, Feminino,Atacantes,Holandesa,9,4,1.75
Jodie Taylor,12/07/1986, Feminino,Atacantes, Inglesa,0,0,1.68
Ada Hegerberg,10/07/1995,Feminino,Atacantes,Norueguesa,20,3,1.77